time	A1	B1	C1	D1	E1	F1	G1	H1	A2	B2	C2	D2	E2	F2	G2	H2
0	0.053485852	0.045044517	0.052455838	0.055971655	0.055577924	0.048240292	0.048028569	0.053559969	0.054289066	0.052407432	0.049123572	0.045298408	0.053084763	0.05446479	0.053950598	0.048860245
0.166666667	0.048003358	0.043894329	0.051376023	0.053539785	0.049835498	0.054518844	0.050849769	0.050742847	0.045423945	0.05170292	0.048924232	0.049673634	0.046552343	0.051319006	0.050809917	0.050708028
0.333333333	0.055874507	0.049997064	0.047148281	0.049021763	0.054781206	0.050820034	0.046179862	0.048799143	0.048059558	0.044467199	0.047763925	0.047281651	0.05217424	0.046661632	0.047681772	0.049016554
0.5	0.051317492	0.052132285	0.048163619	0.045563002	0.046126651	0.055220449	0.045996732	0.053092139	0.048751536	0.048433138	0.050725964	0.055258289	0.053718469	0.052907059	0.051332195	0.050047128
0.666666667	0.045167195	0.047160106	0.047425084	0.051539167	0.052844608	0.052991171	0.046214936	0.053494337	0.050321039	0.050618098	0.047835909	0.056121095	0.046170671	0.049116766	0.049272617	0.051059135
0.833333333	0.052932114	0.049362613	0.051249318	0.048799112	0.046615731	0.046741784	0.050612994	0.050249094	0.049125619	0.04864589	0.054071051	0.049455581	0.051673462	0.054591336	0.054357906	0.051884559
1	0.048677288	0.051100216	0.048576153	0.052568449	0.045077046	0.050481463	0.055116109	0.052582823	0.050570466	0.050335811	0.049299187	0.047268774	0.045286524	0.054291773	0.051300453	0.051946049
1.166666667	0.049439062	0.049302107	0.048855895	0.045170448	0.049625369	0.051213714	0.046425229	0.052761995	0.046391711	0.048193795	0.04882534	0.049249712	0.049949975	0.049432577	0.052506723	0.051540919
1.333333333	0.045830449	0.053062057	0.047278852	0.041750226	0.047154685	0.053006047	0.046203313	0.048263298	0.053690415	0.050721059	0.049021926	0.046326072	0.052902148	0.051172197	0.04990083	0.051258209
1.5	0.051899254	0.051943318	0.047112705	0.047494087	0.050534222	0.055031775	0.053916056	0.050948199	0.048644906	0.05318305	0.050055707	0.057351068	0.049173436	0.059666221	0.050879363	0.049715794
1.666666667	0.053054415	0.048383217	0.047310459	0.046876129	0.048105704	0.050820554	0.050410937	0.054708531	0.051640926	0.047712785	0.048579104	0.048630487	0.055432556	0.052800145	0.052122484	0.047219973
1.833333333	0.048778089	0.047444475	0.049366427	0.053107512	0.053286912	0.04484143	0.052810828	0.052445536	0.045526259	0.053223963	0.046320097	0.051322745	0.051630069	0.04675223	0.049606173	0.043969642
2	0.053904877	0.047959113	0.04561148	0.052857895	0.048299082	0.045113309	0.045013388	0.049187002	0.046716021	0.054311837	0.051723745	0.048385843	0.048067993	0.046989205	0.044744338	0.048730128
2.166666667	0.042835443	0.046602995	0.051871067	0.051022261	0.051537469	0.053094432	0.05160853	0.054714554	0.047334816	0.046049158	0.050918543	0.047283663	0.053030174	0.055060556	0.054390344	0.047072047
2.333333333	0.044446274	0.048723854	0.043700996	0.05045199	0.050717389	0.054334238	0.056835271	0.046799218	0.04479984	0.049964486	0.051055011	0.049999931	0.050050968	0.052070951	0.054835748	0.053217343
2.5	0.049008211	0.056471162	0.051137542	0.047300265	0.053724378	0.047180765	0.050099701	0.054444666	0.047415893	0.0489963	0.050531051	0.049858001	0.057063098	0.051024395	0.049984455	0.055469125
