time	strain1	strain2	strain3
0	0.134	0.121	0.164
12		3.07	2.24
14	5.58	5.17	3.53
16	6.64		3.79
18	7.76	7.9	6.69
20	9.28	9.12	
22	9.7	9.3	
24	9.88	10.48	9.94
36	8.66		9.82
38.5	8.1	8.28	10.52
41		7.28	9.38
44	7.7	7.62	
0	0.145	0.172	0.161
2	0.219	0.24	0.189
4	0.336	0.382	0.286
6	0.63	0.686	0.408
8	1.21	1.358	0.894
10	2.416	2.736	1.564
12	4.27	4.73	2.35
24	10.3	10.86	11.3
26.5	8.74	9.34	11.3
29	8.06	7.8	11.22
32	8.04	8.5	11.2
34.5	7.78	8.02	10.44
0	0.143	0.14	0.15
12	4.14	3.91	2.31
14	5.66	5.64	3.62
16	6.52	6.85	4.49
18	7.48	7.9	7.07
20	8.02	9.46	9.04
22	8.28	9.72	10.24
24	9.44	9.88	10.38
36	8.18	8.42	9.94
38.5	8.26	7.68	9.7
41	7.06	6.98	9.92
44	7.2	7.66	9.98
0	0.138	0.188	0.163
2	0.217	0.252	0.191
4	0.384	0.417	0.292
6	0.661	0.738	0.516
8	1.23	1.43	0.936
10	2.324	2.692	1.616
12	3.9	4.84	2.3
24	10.38	11	10.64
26.5	9.2	9.56	10.64
29	7.89	8.08	11.12
32	8.24	8.3	10.66
34.5	7.8	7.7	11.64
